execution_id,primitive,test_type,attempt_outcome,hidden_reintroduction,decision,reason
PIE-001,Investigation,elimination,reduction-failed,absent,unresolved,"Removing objective and pursuit conditions loses the criteria relative to which admissibility interpretation and resolution are assessed."
PIE-001,Investigation,derivability,not-completed,unknown,unresolved,"No non-circular total derivation of objective and pursuit conditions from the remaining primitives was demonstrated."
PIE-001,Investigation,merger,reduction-failed,absent,unresolved,"Investigation and Reasoning Calculus can vary independently; packaging objective conditions with rules is not a genuine merger."
PIE-001,Investigation,substitution,not-completed,unknown,unresolved,"No preregistered non-equivalent substitute with independent semantics was available."
PIE-001,Investigation,recovery,reduction-failed,present,unresolved,"Recovered context and objective machinery recreates the identity and operational role of Investigation."
PIE-001,Representation,elimination,reduction-failed,absent,unresolved,"Without explicitly distinguishable denoting objects the benchmark cannot preserve what is asserted transformed or recorded."
PIE-001,Representation,derivability,not-completed,unknown,unresolved,"Objects become representations only under a denotation role; no non-circular derivation of that role was demonstrated."
PIE-001,Representation,merger,reduction-failed,absent,unresolved,"Merging Representation with Representational Structure collapses element and organization identity conditions."
PIE-001,Representation,substitution,not-completed,unknown,unresolved,"No non-equivalent substitute preserving denotation multiplicity and interpretation variance was preregistered."
PIE-001,Representation,recovery,reduction-failed,present,unresolved,"Recovered tokens or nodes that denote process objects are commitment-equivalent to representations."
PIE-001,Representational Structure,elimination,reduction-failed,absent,unresolved,"A collection without explicit organization does not preserve relations ordering dependencies or historical constraints."
PIE-001,Representational Structure,derivability,not-completed,unknown,unresolved,"Relations may be represented but no derivation identified which relations organize the collection without adding an organizing criterion."
PIE-001,Representational Structure,merger,reduction-failed,absent,unresolved,"Merging structure with representation cannot preserve reuse of the same representations across different organizations."
PIE-001,Representational Structure,substitution,not-completed,unknown,unresolved,"No non-equivalent organizational substitute was preregistered and executed."
PIE-001,Representational Structure,recovery,reduction-failed,present,unresolved,"Recovered adjacency ordering typing or containment relations recreate representational structure."
PIE-001,Interpretation,elimination,reduction-failed,absent,unresolved,"Syntax alone does not determine denotation; semantic and information preservation fail."
PIE-001,Interpretation,derivability,not-completed,unknown,unresolved,"Meaning assignments can be stored but their semantic application was not derived without an interpretation-like mapping."
PIE-001,Interpretation,merger,reduction-failed,absent,unresolved,"Merging Interpretation with Representation prevents one representation from receiving different meanings under different investigations."
PIE-001,Interpretation,substitution,not-completed,unknown,unresolved,"No preregistered non-equivalent semantic mechanism was executed."
PIE-001,Interpretation,recovery,reduction-failed,present,unresolved,"A recovered denotation or valuation map has the same identity and operational role as Interpretation."
PIE-001,Reasoning Calculus,elimination,reduction-failed,absent,unresolved,"An observed history does not determine which transitions are admissible or specify resolution procedures."
PIE-001,Reasoning Calculus,derivability,not-completed,unknown,unresolved,"Observed transitions underdetermine governing rules; no total derivation of admissibility was shown."
PIE-001,Reasoning Calculus,merger,reduction-failed,absent,unresolved,"Merging calculus with Investigation conflates objectives with rules and loses cases sharing an objective while using different calculi."
PIE-001,Reasoning Calculus,substitution,not-completed,unknown,unresolved,"No non-equivalent substitute governing admissibility was preregistered and executed."
PIE-001,Reasoning Calculus,recovery,reduction-failed,present,unresolved,"Recovered transition schemas and admissibility conditions recreate the Reasoning Calculus."
